category,line_item,armp_total,army,navy,usmc,army_pct,navy_pct,usmc_pct
revenue,Gaming Machine Revenue,5136822.7,2755789.65,1147235.5,1233797.55,53.6477470791429,22.333562340004455,24.018690580852635
revenue,Total Revenue,5136822.7,2755789.65,1147235.5,1233797.55,53.6477470791429,22.333562340004455,24.018690580852635
direct_reimbursement,Gaming NAFI,2471586.4,577073.5,898800.35,995712.55,23.348303745319203,36.36532188395275,40.28637437072805
direct_reimbursement,Total Direct Reimbursement,2471586.4,577073.5,898800.35,995712.55,23.348303745319203,36.36532188395275,40.28637437072805
net_revenue,Net Revenue,2665236.3,2178716.15,248435.15,238085.0,81.74570299826699,9.321317963439114,8.932979038293903
operating_expenses,Compensation & Benefits,710488.59,404814.21,162798.02,142876.36,56.976876996715745,22.91353053255929,20.10959247072497
operating_expenses,Depreciation Expense,310139.87,192042.96,57627.26,60469.65,61.92140339776372,18.581055057513247,19.49754154472303
operating_expenses,Contractor Fees,5412.5,2937.06,1381.98,1093.46,54.26438799076212,25.53311778290993,20.202494226327943
operating_expenses,Communications,13303.49,11933.03,495.0,11.0,89.6984926511765,3.7208281435923958,0.0826850698576088
operating_expenses,TDY,98672.53,59144.42,23491.2,16036.91,59.94010693756409,23.807233887688906,16.252659174747013
operating_expenses,PCS,-6015.74,-996.32,-1505.27,-3514.15,16.561885985764015,25.022191783554476,58.41592223068152
operating_expenses,IT Expense & Maint,40759.52,23267.55,9874.68,7617.29,57.0849460445069,24.226683729347158,18.688370226145942
operating_expenses,Machine Expense & Maint,93817.21,82538.92,4468.07,6810.22,87.97844233483387,4.762527045943915,7.25903061922221
operating_expenses,Vehicle Expense,15280.17,11852.66,1945.07,1482.44,77.56890139311278,12.729374084188855,9.701724522698374
operating_expenses,(Gain)/Loss on Disposals,31709.18,7662.19,24046.99,0.0,24.16394873661192,75.83605126338809,0.0
operating_expenses,Audit-Independent,9834.5,5336.65,2511.02,1986.83,54.26457877878895,25.532767298795058,20.202653922415983
operating_expenses,Other Expenses,24689.14,14859.9,4402.88,5426.36,60.18800168819165,17.83326596228139,21.978732349526958
net_operating_income,Net Operating Income,1317145.34,1363322.92,43101.0,-86.0,103.50588341298766,3.272304026828201,-0.006529271856969102
other_income,Interest Revenue,48504.52,29528.63,9069.81,9906.08,60.87809960803654,18.698896515211366,20.423003876752105
net_income,Net Income,1372126.45,1398448.26,-32995.89,6674.08,101.91832246947794,-2.4047266197659845,0.48640415028804385
