category,line_item,armp_total,army,navy,usmc,army_pct,navy_pct,usmc_pct
revenue,Gaming Machine Revenue,5194304.35,5058255.9,136048.45,0.0,97.38081481498097,2.6191851850190493,0.0
revenue,Total Revenue,5194304.35,5058255.9,136048.45,0.0,97.38081481498097,2.6191851850190493,0.0
direct_reimbursement,Gaming NAFI,1125227.81,1033325.26,91902.55,0.0,91.83253833728122,8.16746166271877,0.0
direct_reimbursement,Total Direct Reimbursement,1125227.81,1033325.26,91902.55,0.0,91.83253833728122,8.16746166271877,0.0
net_revenue,Net Revenue,4069076.54,4024930.64,44145.9,0.0,98.91508799193048,1.0849120080695263,0.0
operating_expenses,Compensation & Benefits,435006.55,422966.93,12039.62,0.0,97.23231293873621,2.7676870612637905,0.0
operating_expenses,Depreciation Expense,243130.35,240501.05,2629.3,0.0,98.91856364291829,1.0814363570817054,0.0
operating_expenses,Contractor Fees,963.05,933.66,29.39,0.0,96.94823737085302,3.0517626291469813,0.0
operating_expenses,Communications,16119.06,15624.28,494.78,0.0,96.93046616862274,3.0695338313772638,0.0
operating_expenses,TDY,485.89,471.05,14.84,0.0,96.94581078021774,3.0541892197822555,0.0
operating_expenses,PCS,5593.99,5441.95,152.04,0.0,97.28208309274775,2.7179169072522473,0.0
operating_expenses,IT Expense & Maint,21762.34,21058.88,703.46,0.0,96.76753510881643,3.232464891183577,0.0
operating_expenses,Machine Expense & Maint,18987.09,18374.91,612.18,0.0,96.77580924723061,3.224190752769381,0.0
operating_expenses,Vehicle Expense,1436.32,1366.56,69.76,0.0,95.14314358917233,4.856856410827672,0.0
operating_expenses,Training,346.37,335.8,10.57,0.0,96.9483500303144,3.0516499696855965,0.0
operating_expenses,Audit-Independent,6151.38,5963.67,187.71,0.0,96.94848960721009,3.0515103927899108,0.0
operating_expenses,Audit-IMCOM Int Review,2248.46,2179.85,68.61,0.0,96.94857813792551,3.0514218620744864,0.0
operating_expenses,Other Expenses,20640.87,20104.1,536.77,0.0,97.39947976999032,2.600520230009685,0.0
net_operating_income,Net Operating Income,3296204.82,3269607.95,26596.87,0.0,99.19310627062309,0.8068937293769263,0.0
other_income,Interest Revenue,22213.21,21894.62,318.59,0.0,98.5657633453247,1.4342366546753036,0.0
net_income,Net Income,3318408.95,3291493.77,26915.18,0.0,99.18891310849436,0.8110868915056416,0.0
