category,item,amount
assets,Cash,28241642.0
assets,Accounts Receivable,157152.59
assets,Prepaid Expenses,377506.31
assets,Fixed Assets,45331635.43
assets,Accum Depreciation,-29704609.76
assets,TOTAL ASSETS,44403326.57
liabilities,Accounts Payable,833576.04
liabilities,Distributions Payable,1432593.11
liabilities,Accrued Liabilities,1361793.76
liabilities,Accrued Salaries,370138.33
liabilities,Accrued Leave Payable,489740.5
liabilities,Total Liabilities,4487841.74
equity,EQUITY,39915484.83
