category,line_item,armp_total,army,navy,usmc,army_pct,navy_pct,usmc_pct
revenue,Gaming Machine Revenue,3918661.65,2433150.15,608497.2,877014.3,62.09135585870242,15.52818932453635,22.38045481676123
revenue,Total Revenue,3918661.65,2433150.15,608497.2,877014.3,62.09135585870242,15.52818932453635,22.38045481676123
direct_reimbursement,Gaming NAFI,1687762.2,464785.5,490049.6,732927.1,27.53856556332403,29.035464830294224,43.425969606381756
direct_reimbursement,Total Direct Reimbursement,1687762.2,464785.5,490049.6,732927.1,27.53856556332403,29.035464830294224,43.425969606381756
net_revenue,Net Revenue,2230899.45,1968364.65,118447.6,144087.2,88.23188557422432,5.309410067764372,6.458704358011294
operating_expenses,Compensation & Benefits,718030.27,422094.93,166074.48,129860.86,58.78511639906211,23.12917532014354,18.085708280794346
operating_expenses,Depreciation Expense,371718.34,223072.3,76581.51,72064.53,60.01110948682273,20.602026254609875,19.386864258567385
operating_expenses,Communications,16571.98,13582.07,1576.37,1413.54,81.95804001694427,9.512261057519982,8.529698925535753
operating_expenses,TDY,283.0,272.0,37.0,5.79,96.113074204947,13.074204946996467,2.045936395759717
operating_expenses,PCS,2874.99,1541.4,685.0,648.59,53.614099527302706,23.826169830155933,22.559730642541368
operating_expenses,IT Expense & Maint,25489.21,14335.94,6316.43,4836.84,56.24317113005857,24.780799404924675,18.976029465016765
operating_expenses,Machine Expense & Maint,391639.28,223600.28,90167.69,77871.31,57.093425358150995,23.023147729206322,19.883426912642673
operating_expenses,Vehicle Expense,2074.4,1672.57,221.83,180.0,80.62909757038179,10.693694562283069,8.677207867335133
operating_expenses,(Gain)/Loss on Disposals,388.39,388.39,0.0,0.0,100.0,0.0,0.0
operating_expenses,Audit-Independent,9251.17,5314.63,2144.12,1792.42,57.44819303936691,23.17674413074238,19.37506282989071
operating_expenses,Audit-IMCOM Int Review,185.35,106.49,42.94,35.92,57.45346641489074,23.166981386565954,19.379552198543298
operating_expenses,Other Expenses,22811.58,13449.36,4707.37,4654.85,58.958476352799764,20.63587879489277,20.405644852307468
net_operating_income,Net Operating Income,669581.49,1048933.92,-230075.93,-149276.5,156.6551548490386,-34.36115445783903,-22.294000391199585
other_income,Interest Revenue,18391.5,10313.17,3349.25,4729.08,56.07574151102411,18.210858276921403,25.71340021205448
net_income,Net Income,686523.37,1058170.49,-227000.68,-144646.44,154.13466405375246,-33.065251660697285,-21.06941239305517
