category,line_item,armp_total,army,navy,usmc,army_pct,navy_pct,usmc_pct
revenue,Gaming Machine Revenue,1131252.85,961784.65,169468.2,0.0,85.01942337648033,14.980576623519667,0.0
revenue,Total Revenue,1131252.85,961784.65,169468.2,0.0,85.01942337648033,14.980576623519667,0.0
direct_reimbursement,Gaming NAFI,283793.86,180616.58,103177.28,0.0,63.64358270471391,36.35641729528609,0.0
direct_reimbursement,Total Direct Reimbursement,283793.86,180616.58,103177.28,0.0,63.64358270471391,36.35641729528609,0.0
net_revenue,Net Revenue,847458.99,781168.07,66290.92,0.0,92.17768401984856,7.8223159801514415,0.0
operating_expenses,Compensation & Benefits,312031.38,247717.21,64314.17,0.0,79.3885570098751,20.611442990124903,0.0
operating_expenses,Depreciation Expense,132990.15,107209.41,25780.74,0.0,80.61454927301007,19.385450726989934,0.0
operating_expenses,Contractor Fees,4302.41,3382.8,919.0,61.0,78.6257004794987,21.36012142032024,1.4178100181061313
operating_expenses,Communications,7675.06,7438.74,236.32,0.0,96.92093612297492,3.0790638770250656,0.0
operating_expenses,TDY,3843.61,2824.4,1019.21,0.0,73.48300165729613,26.51699834270386,0.0
operating_expenses,PCS,833.33,655.22,178.11,0.0,78.62671450685804,21.37328549314197,0.0
operating_expenses,IT Expense & Maint,13450.72,10522.16,2928.56,0.0,78.22748522012205,21.772514779877955,0.0
operating_expenses,Machine Expense & Maint,16973.84,15407.44,1566.4,0.0,90.77168159944951,9.228318400550496,0.0
operating_expenses,Vehicle Expense,5938.27,5088.05,850.22,0.0,85.68236203473401,14.317637965265979,0.0
operating_expenses,Training,908.3,714.16,194.14,0.0,78.62600462402291,21.3739953759771,0.0
operating_expenses,Audit-Independent,3793.25,2982.47,810.78,0.0,78.62571673367165,21.374283266328344,0.0
operating_expenses,Other Expenses,11002.18,8586.81,2415.37,0.0,78.04644170518932,21.953558294810662,0.0
net_operating_income,Net Operating Income,333716.49,368639.2,-34922.71,0.0,110.46478404468417,-10.464784044684157,0.0
other_income,Interest Revenue,5517.13,4699.6,817.53,0.0,85.18196961101154,14.818030388988475,0.0
net_income,Net Income,338649.14,372840.93,34191.0,-79.0,110.09652349921811,10.096290219428875,-0.023327978922373756
