category,line_item,armp_total,army,navy,usmc,army_pct,navy_pct,usmc_pct
revenue,Gaming Machine Revenue,3844995.65,3190737.1,654258.55,0.0,82.9841537011882,17.01584629881181,0.0
revenue,Total Revenue,3844995.65,3190737.1,654258.55,0.0,82.9841537011882,17.01584629881181,0.0
direct_reimbursement,Gaming NAFI,1113076.7,652477.65,460599.05,0.0,58.61928921879328,41.38071078120672,0.0
direct_reimbursement,Total Direct Reimbursement,1113076.7,652477.65,460599.05,0.0,58.61928921879328,41.38071078120672,0.0
net_revenue,Net Revenue,2731918.95,2538259.45,193659.5,0.0,92.91122820462884,7.088771795371161,0.0
operating_expenses,Compensation & Benefits,862363.73,675952.13,186411.6,0.0,78.38364561088393,21.616354389116065,0.0
operating_expenses,Depreciation Expense,323211.34,261619.16,61592.18,0.0,80.94368223590173,19.056317764098253,0.0
operating_expenses,Contractor Fees,2591.96,2017.51,574.45,0.0,77.83723514251763,22.16276485748237,0.0
operating_expenses,Communications,24808.7,23367.26,1441.44,0.0,94.18978019807567,5.810219801924324,0.0
operating_expenses,TDY,24014.57,18006.57,6008.0,0.0,74.98185476566934,25.018145234330657,0.0
operating_expenses,PCS,12517.25,4872.95,7644.3,0.0,38.92987677005732,61.07012322994269,0.0
operating_expenses,IT Expense & Maint,34421.05,26017.72,8403.33,0.0,75.58665409683898,24.413345903160998,0.0
operating_expenses,Machine Expense & Maint,146453.21,145930.03,523.18,0.0,99.64276645080022,0.3572335491997751,0.0
operating_expenses,Vehicle Expense,11460.98,9186.48,2274.5,0.0,80.15440215409153,19.845597845908465,0.0
operating_expenses,Audit-Independent,11521.05,8967.72,2553.33,0.0,77.83769708490111,22.162302915098884,0.0
operating_expenses,Audit-IMCOM Int Review,4454.5,3467.29,987.21,0.0,77.83791671343585,22.162083286564147,0.0
operating_expenses,Other Expenses,28433.4,21672.83,6760.57,0.0,76.2231389844338,23.776861015566197,0.0
net_operating_income,Net Operating Income,1245667.21,1337181.8,-91514.59,0.0,107.3466323320817,-7.346632332081696,0.0
other_income,Interest Revenue,36702.45,29750.14,6952.31,0.0,81.05764056622924,18.942359433770772,0.0
net_income,Net Income,1283726.56,1368105.38,-84378.82,0.0,106.57295896409589,-6.572958964095905,0.0
