category,line_item,armp_total,army,navy,usmc,army_pct,navy_pct,usmc_pct
revenue,Gaming Machine Revenue,1467595.45,1208848.4,258747.05,0.0,82.36932050995388,17.630679490046116,0.0
revenue,Total Revenue,1467595.45,1208848.4,258747.05,0.0,82.36932050995388,17.630679490046116,0.0
direct_reimbursement,Gaming NAFI,403385.35,255224.7,148160.65,0.0,63.27069141207038,36.72930858792963,0.0
direct_reimbursement,Total Direct Reimbursement,403385.35,255224.7,148160.65,0.0,63.27069141207038,36.72930858792963,0.0
net_revenue,Net Revenue,1064210.1,953623.7,110586.4,0.0,89.60859326555911,10.391406734440876,0.0
operating_expenses,Compensation & Benefits,317346.38,243254.31,74092.07,0.0,76.6526185047392,23.347381495260798,0.0
operating_expenses,Depreciation Expense,158683.96,134156.65,24527.31,0.0,84.54329599538605,15.456704004613952,0.0
operating_expenses,Contractor Fees,3017.71,2333.69,684.02,0.0,77.33314334379381,22.666856656206193,0.0
operating_expenses,Communications,7472.35,7026.89,445.46,0.0,94.03855547451604,5.961444525483951,0.0
operating_expenses,TDY,5991.79,2875.97,3115.82,0.0,47.99851129629042,52.001488703709576,0.0
operating_expenses,PCS,22537.73,17429.16,5108.57,0.0,77.33325405886042,22.66674594113959,0.0
operating_expenses,IT Expense & Maint,10270.76,7754.07,2516.69,0.0,75.4965552695224,24.50344473047759,0.0
operating_expenses,Machine Expense & Maint,26625.75,17547.96,9077.79,0.0,65.90597447959212,34.094025520407875,0.0
operating_expenses,Vehicle Expense,3595.24,3521.74,73.5,0.0,97.95563022218266,2.0443697778173364,0.0
operating_expenses,Audit-Independent,3957.01,3060.08,896.93,0.0,77.33313789957569,22.666862100424307,0.0
operating_expenses,Audit-IMCOM Int Review,239.86,185.49,54.37,0.0,77.33261068956891,22.667389310431084,0.0
operating_expenses,Other Expenses,13476.11,10075.25,3400.86,0.0,74.76378569186508,25.23621430813491,0.0
net_operating_income,Net Operating Income,490995.45,504402.44,-13406.99,0.0,102.73057316518921,-2.7305731651892087,0.0
other_income,Interest Revenue,18913.72,15600.58,3313.14,0.0,82.48287486544159,17.517125134558402,0.0
net_income,Net Income,493807.66,506751.46,-12943.8,0.0,102.62122300816476,-2.6212230081647583,0.0
