category,line_item,armp_total,army,navy,usmc,army_pct,navy_pct,usmc_pct
revenue,Gaming Machine Revenue,10812257.17,9152769.97,1659487.2,0.0,84.65179680886189,15.348203191138118,0.0
revenue,Total Revenue,10812257.17,9152769.97,1659487.2,0.0,84.65179680886189,15.348203191138118,0.0
direct_reimbursement,Gaming NAFI,3006960.76,1837311.8,1169648.96,0.0,61.101954652710546,38.89804534728947,0.0
direct_reimbursement,Total Direct Reimbursement,3006960.76,1837311.8,1169648.96,0.0,61.101954652710546,38.89804534728947,0.0
net_revenue,Net Revenue,7805296.41,7315458.17,489838.24,0.0,93.72428394426599,6.275716055734006,0.0
operating_expenses,Compensation & Benefits,3698951.04,2991091.09,707859.95,0.0,80.86322467247363,19.13677532752637,0.0
operating_expenses,Depreciation Expense,1641046.72,1333386.23,307660.49,0.0,81.25217970637667,18.747820293623327,0.0
operating_expenses,Contractor Fees,8882.85,7142.47,1740.38,0.0,80.40741428708128,19.592585712918716,0.0
operating_expenses,Communications,129272.68,119459.99,9812.69,0.0,92.40930875727184,7.590691242728163,0.0
operating_expenses,TDY,84700.88,66723.46,17977.42,0.0,78.77540351410754,21.22459648589247,0.0
operating_expenses,PCS,25685.56,-6403.35,32088.91,0.0,-24.929765985246185,124.92976598524619,0.0
operating_expenses,IT Expense & Maint,154244.97,119790.39,34454.58,0.0,77.66242879751606,22.337571202483947,0.0
operating_expenses,Machine Expense & Maint,329723.99,281821.42,47902.57,0.0,85.47191849765011,14.52808150234989,0.0
operating_expenses,Vehicle Expense,41239.3,39733.83,1505.47,0.0,96.34942882153673,3.6505711784632617,0.0
operating_expenses,Training,1013.11,922.61,90.5,0.0,91.06711018546851,8.932889814531492,0.0
operating_expenses,(Gain)/Loss on Disposals,1238.56,1196.22,42.34,0.0,96.58151401627697,3.4184859837230337,0.0
operating_expenses,Audit-Independent,35725.87,28801.46,6924.41,0.0,80.61793876538206,19.382061234617936,0.0
operating_expenses,Audit-IMCOM Int Review,10769.06,8659.5,2109.56,0.0,80.41091794455598,19.589082055444024,0.0
operating_expenses,Other Expenses,128275.82,105415.32,22860.5,0.0,82.1786366284776,17.821363371522395,0.0
net_operating_income,Net Operating Income,1514526.0,2217717.53,-703191.53,0.0,146.4298090623733,-46.42980906237331,0.0
other_income,Interest Revenue,50664.27,43111.12,7553.15,0.0,85.09176190636913,14.908238093630876,0.0
net_income,Net Income,1575656.93,2269900.92,-694243.99,0.0,144.06060588328705,-44.060605883287046,0.0
