category,line_item,armp_total,army,navy,usmc,army_pct,navy_pct,usmc_pct
revenue,Gaming Machine Revenue,1794657.0,1778299.55,16357.45,0.0,99.08854728229406,0.9114527177059462,0.0
direct_reimbursement,Gaming NAFI,344220.85,3.0,3.0,2.0,0.0008715334936858126,0.0008715334936858126,0.000581022329123875
net_revenue,Net Revenue,1450436.15,1445528.9,4907.25,0.0,99.66167073262756,0.3383292673724383,0.0
operating_expenses,Compensation & Benefits,695014.65,408828.26,162135.9,124050.49,58.82297013451443,23.328414731977233,17.848615133508336
operating_expenses,Depreciation Expense,350821.86,212466.68,72328.09,66027.09,60.56255445427489,20.616756891945105,18.820688653780014
operating_expenses,Contractor Fees,5054.23,2839.44,1197.17,1017.62,56.17947738824708,23.686496261547262,20.134026350205673
operating_expenses,Communications,17994.0,15942.02,961.64,1090.34,88.59630988107146,5.344225853062132,6.059464265866399
operating_expenses,TDY,77.42,66.46,5.92,5.04,85.84345130457245,7.6466029449754584,6.50994575045208
operating_expenses,PCS,2874.99,1496.73,703.46,674.8,52.060354992539104,24.468259020031375,23.47138598742952
operating_expenses,IT Expense & Maint,59853.64,33783.56,14287.45,11782.63,56.443618132497875,23.870645127013162,19.685736740488966
operating_expenses,Machine Expense & Maint,19409.14,8650.41,2019.33,8739.4,44.56874441629047,10.404015839959936,45.02723974374959
operating_expenses,Vehicle Expense,1176.01,623.32,262.98,289.0,53.002950655181515,22.36205474443245,24.57462096410745
operating_expenses,Audit-Independent,9584.5,5384.5,2270.26,1929.74,56.17924774375294,23.68678595649226,20.133966299754814
operating_expenses,Audit-IMCOM Int Review,100.21,56.29,23.74,20.18,56.17203871869075,23.69025047400459,20.13771080730466
net_operating_income,Net Operating Income,261017.13,742338.25,-256493.64,224827.0,284.4021195084016,-98.2669758111278,86.13495980129733
