category,line_item,armp_total,army,navy,usmc,army_pct,navy_pct,usmc_pct
revenue,Gaming Machine Revenue,1581880.4,1555146.4,26734.0,0.0,98.30998601411332,1.69001398588667,0.0
revenue,Total Revenue,1581880.4,1555146.4,26734.0,0.0,98.30998601411332,1.69001398588667,0.0
direct_reimbursement,Gaming NAFI,358361.85,342979.4,15382.45,0.0,95.70756485379235,4.2924351462076675,0.0
direct_reimbursement,Total Direct Reimbursement,358361.85,342979.4,15382.45,0.0,95.70756485379235,4.2924351462076675,0.0
net_revenue,Net Revenue,1223518.55,1212167.0,11351.55,0.0,99.07222085026827,0.9277791497317306,0.0
operating_expenses,Compensation & Benefits,139709.45,135972.5,3736.95,0.0,97.32519883229087,2.6748011677091275,0.0
operating_expenses,Depreciation Expense,81116.32,80237.66,878.66,0.0,98.91679011079397,1.0832098892060191,0.0
operating_expenses,Contractor Fees,963.05,933.0,66.0,29.39,96.87970510357718,6.8532267275842385,3.0517626291469813
operating_expenses,Communications,5769.79,5600.96,168.83,0.0,97.07389697025368,2.926103029746317,0.0
operating_expenses,TDY,91.07,88.29,2.78,0.0,96.94740309651918,3.052596903480839,0.0
operating_expenses,PCS,355.88,345.02,10.86,0.0,96.94840957626167,3.0515904237383387,0.0
operating_expenses,IT Expense & Maint,8662.17,8446.75,215.42,0.0,97.51309429392404,2.48690570607596,0.0
operating_expenses,Machine Expense & Maint,15563.14,15089.92,473.22,0.0,96.9593539607046,3.0406460392954124,0.0
operating_expenses,Vehicle Expense,519.29,487.86,31.43,0.0,93.94750524754954,6.052494752450461,0.0
operating_expenses,Audit-Independent,2050.46,1987.89,62.57,0.0,96.94848960721009,3.0515103927899108,0.0
operating_expenses,Audit-IMCOM Int Review,1431.75,1388.06,43.69,0.0,96.94848961061638,3.0515103893836213,0.0
operating_expenses,Other Expenses,7177.77,7015.79,161.0,98.0,97.743310248169,2.2430364862624463,1.365326556855402
net_operating_income,Net Operating Income,960108.41,954572.64,5535.77,0.0,99.42342240289302,0.5765775971069766,0.0
other_income,Interest Revenue,7975.62,7861.23,114.0,39.0,98.56575413572864,1.4293559622950944,0.48899019762726914
net_income,Net Income,968075.99,962426.08,5649.91,0.0,99.41637742714805,0.5836225728519514,0.0
