category,line_item,armp_total,army,navy,usmc,army_pct,navy_pct,usmc_pct
revenue,Gaming Machine Revenue,2564135.1,135203.15,1014867.25,1414064.7,5.272855942730943,39.57932052800182,55.147823529267235
revenue,Total Revenue,2564135.1,135203.15,1014867.25,1414064.7,5.272855942730943,39.57932052800182,55.147823529267235
direct_reimbursement,Gaming NAFI,1927657.0,24780.15,807798.6,1095078.25,1.285506187044687,41.90572285422147,56.808770958733845
direct_reimbursement,Total Direct Reimbursement,1927657.0,24780.15,807798.6,1095078.25,1.285506187044687,41.90572285422147,56.808770958733845
net_revenue,Net Revenue,636478.1,110423.0,207068.65,318986.45,17.34906511315943,32.53350743725511,50.11742744958546
operating_expenses,Compensation & Benefits,261526.28,23597.29,107307.56,130621.43,9.02291349075894,41.03127226831659,49.94581424092447
operating_expenses,Depreciation Expense,102605.76,12313.84,37212.97,53078.95,12.001119625253008,36.26791517357311,51.730965201173895
operating_expenses,Contractor Fees,3969.17,354.97,1565.07,2049.13,8.943179556431193,39.43066182602408,51.626158617544725
operating_expenses,Communications,2180.76,645.27,595.85,939.64,29.589225774500626,27.323043342687868,43.08773088281149
operating_expenses,TDY,2912.0,115.36,2130.69,665.95,3.9615384615384617,73.16929945054945,22.86916208791209
operating_expenses,PCS,-830.71,-74.29,-327.56,-428.86,8.942952414199903,39.43132982629317,51.62571775950693
operating_expenses,IT Expense & Maint,13913.84,1154.48,5699.09,7060.27,8.297349976713834,40.9598644227618,50.74278560052438
operating_expenses,Machine Expense & Maint,6561.03,1189.85,4574.33,796.85,18.13510988366156,69.7196934017982,12.14519671454025
operating_expenses,Vehicle Expense,3178.91,305.94,1026.22,1846.75,9.624053527781536,32.282134442308845,58.09381202990963
operating_expenses,Audit-Independent,3597.11,321.69,1418.37,1857.05,8.943012585103041,39.43082085340732,51.62616656148964
operating_expenses,Other Expenses,10378.67,1246.33,4072.09,5060.25,12.008571425818529,39.23518138643969,48.75624718774178
net_operating_income,Net Operating Income,226485.28,69252.27,41793.97,115439.04,30.576940806042675,18.45328314493551,50.96977604902182
other_income,Interest Revenue,7988.72,446.11,3194.39,4348.22,5.584248790795021,39.9862556204248,54.429495588780185
net_income,Net Income,234474.0,69698.38,44988.36,119787.26,29.725419449491202,19.18692904117301,51.087651509335785
