category,line_item,armp_total,army,navy,usmc,army_pct,navy_pct,usmc_pct
revenue,Gaming Machine Revenue,41792508.82,24364834.72,7797899.9,9629774.2,58.299526417375766,18.658606817756485,23.04186676486774
revenue,Total Revenue,41792508.82,24364834.72,7797899.9,9629774.2,58.299526417375766,18.658606817756485,23.04186676486774
direct_reimbursement,Gaming NAFI,18998423.85,4883258.7,6372351.85,7742813.3,25.7034938190412,33.541476389369,40.755029791589784
direct_reimbursement,Total Direct Reimbursement,18998423.85,4883258.7,6372351.85,7742813.3,25.7034938190412,33.541476389369,40.755029791589784
net_revenue,Net Revenue,22794084.97,19481576.02,1425548.05,1886960.9,85.46768183781145,6.254026217223495,8.278291944965053
operating_expenses,Compensation & Benefits,6577020.56,3898181.64,1480001.77,1198837.15,59.26971953999791,22.50261735535764,18.227663104644453
operating_expenses,Depreciation Expense,3287499.55,1974919.77,681203.29,631376.49,60.073613394106786,20.721015459910863,19.205371145982365
operating_expenses,Contractor Fees,4576.0,2620.92,1080.29,874.79,57.275349650349646,23.607736013986013,19.116914335664333
operating_expenses,Communications,196393.15,157052.22,20758.52,18582.41,79.96827791600674,10.569879855789269,9.461842228203988
operating_expenses,TDY,51595.02,44499.39,4639.14,2456.49,86.24745178895172,8.991449174745936,4.76109903630234
operating_expenses,PCS,-10076.37,14114.0,-27.0,146.39,-140.07028324684384,0.2679536380660893,-1.4528049287590667
operating_expenses,IT Expense & Maint,233692.07,131783.89,57872.77,44035.41,56.392110352738975,24.7645416466207,18.84334800064033
operating_expenses,Machine Expense & Maint,642256.17,379865.52,129293.28,133097.37,59.14548395852701,20.131107498741503,20.723408542731477
operating_expenses,Vehicle Expense,47856.24,31729.6,4611.33,11515.31,66.3019075464349,9.635796711149894,24.0622957424152
operating_expenses,Training,1324.0,884.0,149.93,290.07,66.76737160120845,11.324018126888218,21.908610271903324
operating_expenses,(Gain)/Loss on Disposals,-27.42,1196.22,42.34,-1265.98,-4362.582056892778,-154.41283734500365,4616.994894237782
operating_expenses,Audit-Independent,83260.49,47761.28,19555.42,15943.79,57.3636787388592,23.487034486585408,19.149286774555375
operating_expenses,Audit-IMCOM Int Review,12494.02,7169.79,2945.06,2379.17,57.38577335397254,23.571756728418876,19.042469917608585
operating_expenses,Other Expenses,230897.62,134335.42,46435.66,50126.54,58.17964689285235,20.11093055008536,21.709422557062304
net_operating_income,Net Operating Income,11435323.87,12683690.63,-1023187.14,-225179.62,110.91675910705973,-8.947600886794998,-1.9691582202647315
other_income,Interest Revenue,201371.77,124208.57,34612.9,42550.3,61.68122274537291,17.188556270821877,21.13022098380523
