category,item,amount
assets,Cash,29117242.47
assets,Accounts Receivable,87598.94
assets,Prepaid Expenses,297205.18
assets,Fixed Assets,44669027.87
assets,"Accum Depreciation 29,721,453.",-73.0
assets,TOTAL ASSETS,44449620.73
liabilities,Accounts Payable,560634.16
liabilities,Distributions Payable,1106671.73
liabilities,Accrued Liabilities,1224818.19
liabilities,Accrued Salaries,418210.67
liabilities,Accrued Leave Payable,517545.77
liabilities,Total Liabilities,3827880.52
equity,EQUITY,40621740.21
